Date,JPM,USB,WFC,CMA,C,BAC
13/11/1997,1.3904406,2.6196564,1.1804061,0.3769365,1.3152028,1.0358802
14/11/1997,-1.8483451,-0.6518557,-1.2632199,-1.1725555,-1.9116066,-1.6428045
17/11/1997,0.6174221,0.4171536,-0.0881824,0.6379287,1.3352444,1.3815194
18/11/1997,0.8124607,0.3829164,0.3908054,0.4140702,0.5373216,0.6459058
19/11/1997,-0.0648372,0.1039459,0.1509672,-0.2691803,-0.1923282,0.102004
20/11/1997,-0.4596617,0.0950828,-0.2828455,0.1327741,-0.3388678,-0.313576
21/11/1997,-1.7936241,-1.2188278,-1.538888,-1.8144566,-2.1173157,-1.6022457
24/11/1997,-0.3975324,-0.100322,0.138526,0.7428009,-0.1109431,-0.0331325
25/11/1997,-1.0380439,0.2190877,-0.2611957,-0.2189995,1.2747509,-0.6116687
26/11/1997,5.6532978,4.1332474,5.2586807,3.5016064,6.2767338,6.3342649
28/11/1997,-0.5342978,-0.3849506,-0.3250594,-0.2646338,-0.1143246,0
12/01/1997,0.0546884,0.6815539,0.2263609,0.360051,-0.5671911,-0.2598232
12/02/1997,-0.4029429,-0.5576096,-0.1767043,-0.4173545,-0.5311399,-0.37676
12/03/1997,1.5125546,0.399203,-0.2607319,-0.519286,0.9327355,-0.1901523
12/04/1997,-0.4807073,1.024598,-0.3505307,0.2712702,-1.0677464,-1.3757247
12/05/1997,0.4242897,-0.6820635,0.4416459,-0.526984,-1.4307765,-1.15691
12/08/1997,0.0591516,0.0892358,0.7145786,0.4234848,0.0537632,-0.1881193
12/09/1997,-0.6956212,-0.3360728,-0.9104711,-0.9670789,-1.0029442,-0.6257165
12/10/1997,-0.1014877,0.2464312,0.4460431,0.1496118,-0.0265866,-0.3381916
12/11/1997,-0.1652514,-0.1454491,-0.1509672,-0.250309,-0.3655915,-0.051028
12/12/1997,1.2918814,1.5707937,0.9487307,2.4429242,1.6117235,1.3193116
15/12/1997,-0.6063268,-0.319486,-0.5343663,-0.1187501,0.4454392,-0.526836
16/12/1997,0.0677893,-0.9480226,-0.8344814,0.380319,1.2181697,-0.151596
17/12/1997,-7.0623505,-4.3497228,-5.0033637,-5.4568722,-5.5076777,-8.3940763
18/12/1997,-0.1753608,-0.1044574,0.0720815,-0.6813024,-0.2267319,0.0405475
19/12/1997,0.5471008,0.0460384,0.6600153,0.560592,0.4399358,0.5188943
22/12/1997,0.3296001,-0.0610244,-0.0146623,-0.1105518,0.380571,-0.0895907
23/12/1997,0.580417,0.5214246,0.2611331,-0.2393322,0.6745129,-0.0441109
24/12/1997,-0.6416786,-0.7218362,-0.7614197,0.1395499,0.5050018,-1.3269757
26/12/1997,-0.1834653,0.2309947,0.4209776,-0.1629628,0.877383,0.2424686
29/12/1997,-0.9041819,0.5883438,0.2225305,-0.0475947,0.2689136,0.7678476
30/12/1997,0.0911614,-0.2994293,0.0320364,0.2306367,0.2217518,0.0683139
31/12/1997,0.2284614,0.1931796,0.2113895,1.2380205,0.4657833,0.2548829
01/02/1998,-1.0656728,-1.0561331,-0.9466549,-1.2139324,-1.3259246,-1.1633634
01/05/1998,-0.2140417,0.1776292,-0.2883176,-0.0698785,-0.3305645,-0.6831746
01/06/1998,-1.5402206,-1.092793,-0.8965667,-1.4525166,-1.7567831,-2.1994248
01/07/1998,-0.1447052,0.0398037,-0.3072863,1.5083178,0.1120883,0.098304
01/08/1998,1.1390676,0.4319428,1.0802783,1.4946086,1.8442016,1.5925035
01/09/1998,-0.3680836,-0.2529302,-0.484988,-0.6889767,-0.1949759,-0.2841654
01/12/1998,0.2864651,0.1567875,-0.0720815,0.1806499,-0.0347904,0.2278247
13/01/1998,0.0512339,-0.3667673,-0.3423771,-0.3475373,0.086602,-0.3328042
14/01/1998,0.2765837,0.4289493,0.2348304,0.2287683,0.6915693,-0.1389645
15/01/1998,1.3300431,0.5715531,0.7390403,0.7352611,0.6808761,1.1453141
16/01/1998,1.2929931,0.6006928,0.4083221,1.0852093,1.9212791,1.0685976
20/01/1998,-0.726268,-0.5752257,-1.5920073,-0.485244,-0.877383,-1.4820397
21/01/1998,0.6806138,0.4433688,0.3297121,0.7816952,0.8126937,1.0377918
22/01/1998,0.3812511,0.4375016,0.2027354,0.5849824,0.4519075,0.5718269
23/01/1998,0.2919513,-0.0475583,-0.0208858,-0.0885584,-0.0355233,-0.5587885
26/01/1998,0.4722886,0.2678092,0.426888,0.5197908,0.6101983,0.7323861
27/01/1998,-0.1099197,-0.5201253,0.296801,-0.0185527,0.4366454,-0.7969001
28/01/1998,-0.7382634,-1.0791688,-0.1019475,-1.1630265,-0.335379,-1.1651069
29/01/1998,0.0752486,0.5342012,0.2054739,-0.2410607,0.3067814,0.1633831
30/01/1998,-0.0555773,0.3152799,-0.3348188,-0.1130045,-0.2253833,-0.1953413
02/02/1998,-0.0512339,-0.0301019,-0.0370702,-0.1029758,0,-0.0827965
02/03/1998,-0.6827317,-0.2132059,0.2805462,-0.2802377,-0.5344554,-0.1582704
02/04/1998,-2.1482339,-0.1648322,-0.4724703,-1.7358296,-0.7271775,-1.2294876
02/05/1998,0.7006082,1.2887159,0.0298312,0.8209719,0.6142951,1.4202533
02/06/1998,-0.5336228,0.9302657,0.1762035,0.2395608,-1.9720421,-0.9175343
02/09/1998,-0.194235,-0.00810534,-0.1852698,0.0942814,0.0612676,0.0876106
02/10/1998,-0.9598445,-0.4981942,-0.8243274,-1.1621861,-1.1763695,-1.2202478
02/11/1998,0.2950259,0.2548688,0.3868568,0.1897545,0.4407441,0.4614757
02/12/1998,0.1593101,0.0118801,-0.2082445,-0.3524609,-0.2919172,-0.1846775
13/02/1998,-0.3332838,0.0319933,-0.3768869,-0.0565038,-0.465061,-0.5382839
17/02/1998,2.9228834,2.100228,1.9711487,1.7597582,2.9243973,1.9514546
18/02/1998,4.5317793,1.6069777,3.8816441,-0.6285203,1.6249549,2.8486852
19/02/1998,0.028249,-0.1877236,-0.2657034,0.0746532,0.2244972,0.1639919
20/02/1998,-0.00926493,0.0130556,0.1073395,-0.1726779,0.129892,0.4161542
23/02/1998,-0.1916388,-0.3447352,-0.2511067,-0.2198648,-0.1442479,-0.2371876
24/02/1998,-0.366817,-0.2974574,0.3733806,0.101093,-0.5801373,0.1656484
25/02/1998,0.8649723,0.8903466,0.382952,1.6824731,2.1572109,1.6243499
26/02/1998,-0.8707398,0.1802184,0.1194894,-0.7012285,0.2993284,-0.0394383
27/02/1998,-0.8750279,0.1228489,-0.1175344,-0.143864,-0.5044153,-0.9479631
03/02/1998,-0.8272268,0.1611621,0.5990435,-0.6608957,-0.2689136,1.3273018
03/03/1998,-0.3263824,-0.0485775,-0.1764786,0.1181462,-0.34197,-0.4536665
03/04/1998,0.8922442,0.9589334,0.7917364,0.9577686,1.2374355,0.9393576
03/05/1998,-1.0556496,-0.7200719,-0.6040017,-0.1725436,-1.073199,-0.842335
03/06/1998,1.1749979,-0.1650809,0.0831881,0.1648676,0.2653034,0.1538374
03/09/1998,-0.7222512,-0.0763083,-0.4727425,-1.0871819,-0.8247637,-0.8189931
03/10/1998,-0.710516,0.3161293,-0.3987249,-0.3785011,-0.4929727,-0.982954
03/11/1998,3.0634579,1.8339187,-0.1905306,-0.2736858,1.0187156,1.6745252
03/12/1998,-0.225495,-0.0792232,0.1326422,-0.3061537,-0.2617946,-0.3187904
13/03/1998,0.083392,0.1569761,0.4320177,0.3687172,0.5059021,0.4449922
16/03/1998,-0.488462,0,0.1878845,-0.2660086,-0.5258499,0.0553707
17/03/1998,0.5785946,0.6696433,0.4947687,1.2900461,1.3828205,1.0382141
18/03/1998,0.8840514,0.7178577,0.3806375,1.5048566,0.0445345,1.4017275
19/03/1998,-0.2304029,-0.1228489,0.9493192,2.0590919,1.1175459,0
20/03/1998,0.0720734,0.9240784,1.7332338,2.1994292,0.6249002,2.3664042
23/03/1998,-3.3770738,-0.2415085,-0.7475251,-1.2468771,-2.5381697,-3.3608579
24/03/1998,-0.3018435,-0.3184894,-0.1971533,0.0745576,-0.8664227,-0.4722228
25/03/1998,0.4889691,-0.0203965,0.024997,-0.2575341,0.3438402,0.3298833
26/03/1998,-0.972914,-0.5380568,-0.5994688,0.0330403,-0.5377598,-0.1538374
27/03/1998,0.3702447,0.4213437,0.1611412,0.3871444,-0.2327838,-0.0476931
30/03/1998,0.7160276,1.1587061,0.9436,1.2367661,1.1281045,1.3953239
31/03/1998,-0.670177,-0.3358166,-0.4706617,-0.9394584,-0.8734671,-1.3100351
04/01/1998,-0.0642845,-0.2048108,0.1269291,-2.3533341,-2.297443,-0.3010104
