Date,JPM,USB,WFC,CMA,C,BAC
18/03/1980,0.318152623,-0.474251541,1.369984857,0.567679528,-0.930013601,-0.485190551
19/03/1980,0.629430275,0,-1.092548871,0.56039571,-0.377644906,1.439759729
20/03/1980,-0.313558271,0,-0.277435986,0,-0.958744309,0
21/03/1980,0.933996279,-0.479967368,0,-0.56039571,1.336389215,0
24/03/1980,-1.091645106,0,-0.56045066,-1.142962732,-0.950365868,-1.930512043
25/03/1980,-0.158223177,0,-0.567777853,0,-0.580353785,-0.496361252
26/03/1980,0.315872004,0,0,1.142962732,0.194330437,-0.502099885
27/03/1980,-0.315872004,-1.47257383,-1.158108877,-0.567679528,-0.782537663,-1.542013216
28/03/1980,-0.478124115,0,1.72588673,0,1.168561011,2.540474353
31/03/1980,1.263505032,0.496426549,1.930435517,0.567679528,1.137987429,1.455850053
01/04/1980,-0.469508913,0.490816144,-1.092548871,2.199460026,-1.137987429,1.408625565
02/04/1980,1.545695338,0,1.092548871,4.575737254,0.950365868,1.364441309
03/04/1980,1.639051096,-0.490816144,1.589050143,-1.974433815,1.659908599,0.445379373
07/04/1980,0.291461643,0.490816144,1.533136477,-1.542020262,0,0
08/04/1980,-0.73237039,-0.490816144,0.499069757,0,0,0
09/04/1980,-0.594971017,0.976147281,1.703437728,0.520126681,-0.181328574,0.877426891
10/04/1980,0.889396678,0.479967368,1.408633245,-2.118960255,-0.182075776,1.703331224
11/04/1980,0,0.474251541,-1.408633245,0,0,0
14/04/1980,-0.146978832,0.469592865,0,-1.099513918,-1.108882687,0
15/04/1980,-1.042956375,0.924222061,0,-1.128075239,0.186761113,-0.843349916
16/04/1980,0.747529195,0,0.474525037,2.227589157,-0.186761113,1.258962
17/04/1980,-0.747529195,0,0,0,-0.187621561,1.223427029
18/04/1980,-0.302632803,-0.459652531,-0.474525037,0,-0.758616184,0
21/04/1980,-1.076186425,0,-1.209860054,0,0.570194071,0
22/04/1980,1.378819227,0,0.729917945,0,0.748819356,0
23/04/1980,0,0.459652531,0.47994211,0.539550397,-0.748819356,0.400225237
24/04/1980,-0.302632803,0,-0.721828935,0,0.376043674,0
25/04/1980,-0.611699059,0,0.721828935,-0.539550397,0,-0.400225237
28/04/1980,0.914331862,0,0.232404595,0.539550397,0.186761113,0.400225237
29/04/1980,0.150513409,0,-0.242093531,0.532890547,0.555630927,0
30/04/1980,0.448529486,0,0.242093531,-0.532890547,1.090335103,-0.400225237
01/05/1980,0.737375398,0,0.479835342,-0.539550397,-0.90669335,0.400225237
02/05/1980,0.436446969,0.454838525,0,0,0.36492467,0
05/05/1980,2.256607492,0,0.474591707,0.539550397,1.253739919,1.565256246
06/05/1980,-0.692684159,0.895190539,1.84846682,1.059283177,0,0.382593815
07/05/1980,0.692684159,0.877542231,1.336249502,1.034097788,0.176154013,2.588093722
08/05/1980,-0.137661613,0,0,0,-0.176154013,-1.090379171
09/05/1980,-0.276610027,0,-0.440864003,0,0.176154013,-1.118400623
12/05/1980,-0.138983158,0,-0.445385268,0.507922474,-0.176154013,-1.147964835
13/05/1980,-0.139429361,0.432210054,0.886249271,0,0.176154013,0
14/05/1980,0.139429361,-0.432210054,0.436588478,0.502124005,-0.353069856,0.768650906
15/05/1980,-0.139429361,0.432210054,-0.877452481,0,0.176915843,-0.768650906
16/05/1980,-0.139878438,0,-0.895385498,0,0.351652836,0
19/05/1980,0.969760376,0,0,0,0,-0.782564589
20/05/1980,-0.829881938,0,-1.378838856,-1.01004648,0.174761264,1.16862168
21/05/1980,-0.280179252,0,-0.944219671,0,0.347445424,-0.77557676
22/05/1980,0.419608613,0,2.323058527,1.01004648,0.516014316,0.389519669
23/05/1980,0.553254798,-0.432210054,-0.914399726,0,-0.171357214,0.386057091
27/05/1980,-0.41427164,0.432210054,0,1.952204713,0,0
28/05/1980,0.688263907,0,-0.934067094,0.944168425,0.171357214,0
29/05/1980,-0.549753237,0,0,-0.469553089,-0.171357214,0
30/05/1980,-0.13851067,-0.432210054,1.39359197,0,0,0.761907744
02/06/1980,-0.278412519,0,-0.459524876,0,-0.692102526,-0.379313928
03/06/1980,0.278412519,0,0,0,0.520146723,-0.382593815
04/06/1980,1.096052461,-0.436554684,0.914399726,1.848333353,0,0
05/06/1980,-0.135485461,0.436554684,-0.45487485,0,0.171955804,1.137937398
06/06/1980,2.118924462,0,0,1.772933789,0,0.742370968
09/06/1980,-2.118924462,0.432210054,0,-0.877404137,-0.344657103,0
10/06/1980,0.673324193,-0.432210054,0.90487508,0,0.686631005,-0.742370968
11/06/1980,0.794485643,0.860161102,-0.45000023,0,-0.170616689,0
12/06/1980,-0.131413681,1.258707123,0.45000023,0,-0.343313017,-0.755343583
13/06/1980,1.804428996,1.62359539,0.445385268,0.440885615,0.8532137,0.379313928
16/06/1980,-1.542025635,1.179354073,0.440864003,0,0.504061134,0.748771288
17/06/1980,0,0,0.868678323,0,0.498212814,0.369629335
18/06/1980,-0.925475324,-0.389570377,-0.868678323,0,0.164801044,-1.880308366
19/06/1980,-1.495380523,-0.393096552,-0.440864003,0,0,-0.77557676
20/06/1980,-0.277493827,-0.396687144,-0.895385498,0,-0.330223905,-0.393044921
23/06/1980,-0.139429361,0,0.895385498,0.436518522,1.145092714,0.782564589
24/06/1980,1.238979518,0,0.440864003,0,1.272743857,0
25/06/1980,0.135485461,-0.39994414,0.436588478,0,0,0
26/06/1980,-0.135485461,0,-0.877452481,0,-0.791079095,0.768650906
27/06/1980,0.135485461,0.39994414,0.877452481,0,0.3181504,1.128085216
30/06/1980,-0.135485461,-1.211868941,-0.877452481,-0.436518522,-0.799815162,0.369629335
01/07/1980,0,0,0,0.436518522,-0.650649701,0
02/07/1980,0.135485461,0,-0.445385268,0,-0.494443012,1.802323502
03/07/1980,0.135092514,0,0,0,0.65802012,0
07/07/1980,0,0,0.445385268,0.432111507,0.808786733,0.700517613
08/07/1980,0,0,0.440864003,0,-0.321714139,1.029980273
